location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,26683,26683,"Nicholson Rd After Broadway Bvd","",-32.1247266502,115.9254210920,3,Bus
0,,26684,26684,"Nicholson Rd Before Easthope Link","",-32.1248042774,115.9256782170,3,Bus
0,,26685,26685,"Nicholson Rd After Wright Rd","",-32.12166944444440,115.923301666667,3,Bus
0,,26686,26686,"Nicholson Rd Before Wright Rd","",-32.1214341351,115.9233586580,3,Bus
0,70,26688,26688,"Kwinana Bus Stn Stand 6","Kwinana Bus Stn",-32.24588166666670,115.812538333333,4,Bus
0,70,26689,26689,"Kwinana Bus Stn Stand 7","Kwinana Bus Stn",-32.246030,115.812480555556,4,Bus
0,70,26690,26690,"Kwinana Bus Stn Stand 8","Kwinana Bus Stn",-32.246195,115.812478333333,4,Bus
0,70,26691,26691,"Kwinana Bus Stn Stand 9","Kwinana Bus Stn",-32.24635555555560,115.812478888889,4,Bus
0,,26694,26694,"Sixty Eight Rd After Smirk Rd","Sixty Eight Rd / Martindale Rd",-32.3627216345,115.8154809190,5,Bus
0,74,26695,26695,"Warnbro Stn Stand 1","Warnbro Stn",-32.32666888888890,115.768775,5,Bus
0,74,26696,26696,"Warnbro Stn Stand 2","Warnbro Stn",-32.32665777777780,115.768527222222,5,Bus
0,74,26697,26697,"Warnbro Stn Stand 3","Warnbro Stn",-32.32670222222220,115.768308333333,5,Bus
0,74,26698,26698,"Warnbro Stn Stand 4","Warnbro Stn",-32.32689944444450,115.768155,5,Bus
0,74,26699,26699,"Warnbro Stn Stand 5","Warnbro Stn",-32.32706277777780,115.768117777778,5,Bus
0,,26701,26701,"Smirk Rd After Baroness Road","",-32.3613268395,115.8130300750,5,Bus
0,,26702,26702,"Smirk Rd Before Baroness Rd","",-32.3612912527,115.8131380450,5,Bus
0,,26703,26703,"Smirk Rd After Anthony Gdns","",-32.3588386581,115.8130364180,5,Bus
0,,26704,26704,"Norwood Av After Sunbeam App","",-32.33706666666670,115.817074444444,5,Bus
0,,26705,26705,"Norwood Av Before Sunbeam App","",-32.33707944444440,115.817168333333,5,Bus
0,,26706,26706,"Burlington Dr After Norwood Av","",-32.33519333333330,115.818752777778,5,Bus
0,,26707,26707,"Burlington Dr Before Norwood Av","",-32.335325,115.818911666667,5,Bus
0,,26711,26711,"Oakwood Cr South Coast Baptist College","",-32.3152455862,115.7589924350,5,Bus
0,,26712,26712,"Santa Monica Dr Before Gnangara Dr","",-32.3128289126,115.7620182750,5,Bus
0,,26713,26713,"Santa Monica Dr After Gnangara Dr","",-32.3127803374,115.7620964740,5,Bus
0,,26714,26714,"Harrington Waters Dr After Sunderland Way","",-32.31658333333330,115.763337222222,5,Bus
0,,26715,26715,"Harrington Waters Dr Before Sunderland Way","",-32.31675555555560,115.763457222222,5,Bus
0,,26716,26716,"Harrington Waters Dr Before Kirkbridge Mndr","",-32.3205676436,115.7639671840,5,Bus
0,,26717,26717,"Harrington Waters Dr After Thirlmere Link","",-32.32067111111110,115.764222777778,5,Bus
0,,26718,26718,"Harrington Waters Dr Before Abbeytown Cir","",-32.32291277777780,115.763164444444,5,Bus
0,,26719,26719,"Harrington Waters Dr After Abbeytwon Cir","",-32.32310611111110,115.763011666667,5,Bus
0,,26720,26720,"Ambleside Pde After Harrington Waters Dr","",-32.3247492870,115.7605188480,5,Bus
0,,26721,26721,"Ambleside Pde After Keswick Way","",-32.3245584115,115.7604046370,5,Bus
0,,26723,26723,"Stirling Hwy Uwa Cat Id 121","University Of Wa",-31.97659777777780,115.815042777778,1,Bus
0,,26724,26724,"Heritage Park Dr After Brumby Ent","",-32.3447879161,115.8297099610,5,Bus
0,,26725,26725,"Heritage Park Dr After Palomino Pde","",-32.34536777777780,115.829774444444,5,Bus
0,,26726,26726,"James St Before Fauntleroy St","",-31.8994378318,115.9797631610,2,Bus
0,,26729,26729,"Yindana Bvd After Maddox Vista","",-32.4786202024,115.7663718170,7,Bus
0,,26730,26730,"Yindana Bvd Before Maddox Vista","",-32.4787523649,115.7664063020,7,Bus
0,,26744,26744,"Plaistowe Bvd After Blackberry Rmbl","",-32.2072220087,116.0013667440,4,Bus
0,,26745,26745,"Plaistowe Bvd Before Blackberry Rmbl","",-32.2073490370,116.0014056910,4,Bus
0,,26746,26746,"Plaistowe Bvd Before Bunya Grn","",-32.2091518311,116.0039330430,4,Bus
0,,26747,26747,"Plaistowe Bvd After Marr St","",-32.2097227297,116.0040444240,4,Bus
0,,26748,26748,"Thomas Rd After Butcher Rd","",-32.20480722222220,116.010833888889,4,Bus
0,,26749,26749,"Thomas Rd Before Butcher Rd","",-32.20496777777780,116.009658888889,4,Bus
